id,name,guideline
1,Python,"{""language"": ""Python"", ""best_practices"": [{""title"": ""Use Type Hints"", ""explanation"": ""Python supports type hints, which improve code readability and make it easier to catch errors."", ""examples"": [{""description"": ""Example of using type hints in a function."", ""code"": ""def add_numbers(a: int, b: int) -> int:\n    return a + b""}]}, {""title"": ""Use Docstrings for Documentation"", ""explanation"": ""Add docstrings to modules, classes, and functions to explain what they do. Follow the PEP 257 convention for docstrings."", ""examples"": [{""description"": ""Example of using docstrings in a function."", ""code"": ""def add(a: int, b: int) -> int:\n    \""\""\""Return the sum of two numbers.\""\""\""\n    return a + b""}]}, {""title"": ""Keep Code DRY (Don't Repeat Yourself)"", ""explanation"": ""Avoid redundant code by using functions or classes for repeated logic. Promote code reuse and modularity."", ""examples"": [{""description"": ""Example of avoiding repeated logic with a function."", ""code"": ""def greet(name: str) -> str:\n    return f'Hello, {name}!'\n\nprint(greet('Alice'))\nprint(greet('Bob'))""}]}, {""title"": ""Use List Comprehensions"", ""explanation"": ""List comprehensions provide a concise way to create lists. They are more readable and efficient than for loops."", ""examples"": [{""description"": ""Example of using list comprehension to create a list of squares."", ""code"": ""squares = [x**2 for x in range(10)]""}]}, {""title"": ""Use Context Managers"", ""explanation"": ""Context managers ensure that resources, such as files or connections, are properly released after use. They make the code more readable and reduce the risk of resource leaks."", ""examples"": [{""description"": ""Example of using a context manager to open a file."", ""code"": ""with open('example.txt', 'w') as f:\n    f.write('Hello, world!')""}]}]}"
2,JavaScript,"{""language"": ""JavaScript"", ""best_practices"": [{""title"": ""Use strict mode"", ""explanation"": ""Enables strict mode in JavaScript to prevent common coding errors and improve security."", ""examples"": [{""description"": ""Enable strict mode at the beginning of a script."", ""code"": ""\""use strict\"";""}, {""description"": ""Enable strict mode within a function."", ""code"": ""function myFunction() { 'use strict'; }""}]}, {""title"": ""Use let and const"", ""explanation"": ""Use let and const instead of var to declare variables. This helps in avoiding hoisting and improves code readability."", ""examples"": [{""description"": ""Declare a variable with let."", ""code"": ""let myVariable = 'value';""}, {""description"": ""Declare a constant with const."", ""code"": ""const MY_CONSTANT = 'value';""}]}, {""title"": ""Use arrow functions"", ""explanation"": ""Use arrow functions for concise and readable code. They also handle 'this' context better than traditional functions."", ""examples"": [{""description"": ""A simple arrow function."", ""code"": ""const add = (a, b) => a + b;""}, {""description"": ""An arrow function with multiple statements."", ""code"": ""const addLog = (a, b) => { console.log('Adding two numbers'); return a + b; }""}]}, {""title"": ""Use async/await for asynchronous operations"", ""explanation"": ""Use async/await for handling asynchronous operations. It makes the code more readable and easier to maintain."", ""examples"": [{""description"": ""A simple async function."", ""code"": ""async function fetchData() { return 'data'; }""}, {""description"": ""Awaiting a promise in an async function."", ""code"": ""async function fetchData() { const data = await promise; return data; }""}]}, {""title"": ""Use ESLint for code quality"", ""explanation"": ""Use ESLint to enforce coding standards and catch errors. It helps in maintaining code quality and readability."", ""examples"": [{""description"": ""Install ESLint globally."", ""code"": ""npm install -g eslint""}, {""description"": ""Initialize ESLint in a project."", ""code"": ""eslint --init""}]}]}"
3,TypeScript,"{""language"": ""TypeScript"", ""best_practices"": [{""title"": ""Use Type Hints"", ""explanation"": ""TypeScript supports type hints, which improve code readability and make it easier to catch errors."", ""examples"": [{""description"": ""Example of using type hints in a function."", ""code"": ""function add(a: number, b: number): number { return a + b; }""}]}, {""title"": ""Use Interfaces for Complex Types"", ""explanation"": ""Interfaces are useful for defining complex types and ensuring that objects conform to a specific structure."", ""examples"": [{""description"": ""Defining an interface for a user object."", ""code"": ""interface User { name: string; age: number; }""}]}, {""title"": ""Use Modules and Imports"", ""explanation"": ""Organize your code into modules and use imports to manage dependencies and avoid polluting the global namespace."", ""examples"": [{""description"": ""Creating a module with a function and importing it."", ""code"": ""export function greet(name: string) { return `Hello, ${name}!`; }""}, {""description"": ""Importing the module and using the function."", ""code"": ""import { greet } from './greet'; console.log(greet('Alice'));""}]}, {""title"": ""Use Generics"", ""explanation"": ""Generics allow you to create reusable functions and classes that work with multiple types."", ""examples"": [{""description"": ""Creating a generic function that works with arrays of any type."", ""code"": ""function first<T>(arr: T[]): T | undefined { return arr[0]; }""}]}, {""title"": ""Use Enums"", ""explanation"": ""Enums provide a way to define a set of named values, which can be used to make your code more readable and maintainable."", ""examples"": [{""description"": ""Defining an enum for colors."", ""code"": ""enum Color { Red, Green, Blue }""}]}]}"
4,HTML,"{""language"": ""HTML"", ""best_practices"": [{""title"": ""Use Semantic HTML"", ""explanation"": ""Semantic HTML improves the readability of the HTML code and provides better structure for search engines. It uses HTML tags that provide meaning to the structure of the page."", ""examples"": [{""description"": ""Use <header> instead of <div> for headers."", ""code"": ""<header>...</header>""}, {""description"": ""Use <nav> instead of <div> for navigation."", ""code"": ""<nav>...</nav>""}]}, {""title"": ""Keep HTML, CSS, and JavaScript Separate"", ""explanation"": ""Separating HTML, CSS, and JavaScript into different files improves code readability and maintainability. It also allows for easier updates and modifications."", ""examples"": [{""description"": ""Keep HTML in .html files, CSS in .css files, and JavaScript in .js files."", ""code"": ""index.html, style.css, script.js""}]}, {""title"": ""Use the alt Attribute for Images"", ""explanation"": ""The alt attribute provides a text description of an image, which is essential for accessibility. It helps screen readers to read out the content of the image."", ""examples"": [{""description"": ""Add alt attribute to images."", ""code"": ""<img src='image.jpg' alt='Description of the image'>""}]}, {""title"": ""Validate HTML Code"", ""explanation"": ""Validating HTML code ensures that it follows the standard HTML syntax. It can be done using the W3C HTML Validator."", ""examples"": [{""description"": ""Use the W3C HTML Validator to check for errors."", ""code"": ""https://validator.w3.org/""}]}, {""title"": ""Use CSS for Styling"", ""explanation"": ""CSS should be used for styling instead of HTML attributes. This keeps the presentation separate from the structure and improves code readability."", ""examples"": [{""description"": ""Use CSS for styling elements."", ""code"": ""style.css: .element { color: blue; }""}]}]}"
5,CSS,"{""language"": ""CSS"", ""best_practices"": [{""title"": ""Use a Preprocessor"", ""explanation"": ""Using a preprocessor like Sass or Less can simplify your CSS code and make it more efficient. It allows you to use variables, functions, and other programming concepts in your CSS."", ""examples"": [{""description"": ""Defining a variable in Sass"", ""code"": ""$primary-color: #333;""}, {""description"": ""Using a mixin in Sass"", ""code"": ""@mixin clearfix() { &::after { content: ''; clear: both; display: table; } }""}]}, {""title"": ""Use a Consistent Naming Convention"", ""explanation"": ""Consistent naming conventions make your code easier to read and understand. BEM (Block, Element, Modifier) is a popular convention used in CSS."", ""examples"": [{""description"": ""BEM example for a navigation block"", ""code"": "".nav { /* block */ } .nav__item { /* element */ } .nav__item--active { /* modifier */ }""}]}, {""title"": ""Keep Your CSS Modular"", ""explanation"": ""Modular CSS means breaking down your code into smaller, reusable components. This makes your code more maintainable and efficient."", ""examples"": [{""description"": ""Creating a modular CSS component"", ""code"": "".button { /* base styles */ } .button--primary { /* primary button styles */ }""}]}, {""title"": ""Use CSS Grid and Flexbox"", ""explanation"": ""CSS Grid and Flexbox are powerful layout modes that can simplify your CSS code and make it more flexible."", ""examples"": [{""description"": ""Basic CSS Grid layout"", ""code"": "".grid-container { display: grid; grid-template-columns: repeat(3, 1fr); }""}, {""description"": ""Basic Flexbox layout"", ""code"": "".flex-container { display: flex; flex-wrap: wrap; }""}]}, {""title"": ""Use Media Queries for Responsive Design"", ""explanation"": ""Media queries allow you to apply different styles based on the user's device screen size, making your website responsive."", ""examples"": [{""description"": ""Basic media query for mobile devices"", ""code"": ""@media (max-width: 768px) { /* mobile styles */ }""}]}]}"
6,Java,"{""language"": ""Java"", ""best_practices"": [{""title"": ""Use Java 8's Optional Class"", ""explanation"": ""Java 8 introduced the Optional class to handle null pointer exceptions more gracefully. It provides a way to represent the absence of a value."", ""examples"": [{""description"": ""Optional class usage"", ""code"": ""Optional<String> optional = Optional.of('Hello, World!');""}]}, {""title"": ""Follow SOLID Principles"", ""explanation"": ""The SOLID principles are five design principles aimed at promoting simpler, more robust, and updatable code for software development in object-oriented languages and systems."", ""examples"": [{""description"": ""Single Responsibility Principle"", ""code"": ""public class UserDAO { // Only handles user data access }""}, {""description"": ""Open/Closed Principle"", ""code"": ""public abstract class Animal { // Can be extended without modification }""}, {""description"": ""Liskov Substitution Principle"", ""code"": ""public class Rectangle extends Shape { // Can be used as a substitute for Shape }""}, {""description"": ""Interface Segregation Principle"", ""code"": ""public interface Animal { // Defines a contract that can be implemented by multiple classes }""}, {""description"": ""Dependency Inversion Principle"", ""code"": ""public class Service { // Depends on an interface, not a concrete implementation }""}]}, {""title"": ""Use Java 8's Lambda Expressions"", ""explanation"": ""Lambda expressions provide a concise way to represent single-method interfaces using an expression."", ""examples"": [{""description"": ""Lambda expression usage"", ""code"": ""List<String> names = Arrays.asList('Alice', 'Bob', 'Charlie'); names.sort((a, b) -> a.compareTo(b));""}]}, {""title"": ""Use Java 8's Stream API"", ""explanation"": ""The Stream API provides a way to process data in a declarative way, allowing you to write more concise and efficient code."", ""examples"": [{""description"": ""Stream API usage"", ""code"": ""List<Integer> numbers = Arrays.asList(1, 2, 3); List<Integer> doubleNumbers = numbers.stream().map(n -> n * 2).collect(Collectors.toList());""}]}, {""title"": ""Use Java 8's Functional Programming Features"", ""explanation"": ""Java 8 introduced several functional programming features, including lambda expressions, method references, and functional interfaces."", ""examples"": [{""description"": ""Functional programming features usage"", ""code"": ""List<String> names = Arrays.asList('Alice', 'Bob', 'Charlie'); names.sort(String::compareTo);""}]}]}"
7,Ruby,"{""language"": ""Ruby"", ""best_practices"": [{""title"": ""Use RuboCop for Code Analysis"", ""explanation"": ""RuboCop is a Ruby static code analyzer that helps to enforce many of the guidelines outlined in the community-driven Ruby Style Guide. It's a great tool for ensuring your code is clean and follows best practices."", ""examples"": [{""description"": ""Install RuboCop"", ""code"": ""gem install rubocop""}, {""description"": ""Run RuboCop on your project"", ""code"": ""rubocop""}]}, {""title"": ""Keep Your Code DRY"", ""explanation"": ""Don't Repeat Yourself. This principle is about reducing repetition in your code. If you find yourself writing the same code over and over, it's time to extract a method."", ""examples"": [{""description"": ""Extract a method"", ""code"": ""def greet\n  puts 'Hello, World!'\nend""}, {""description"": ""Use the method"", ""code"": ""greet""}]}, {""title"": ""Use Bundler for Dependency Management"", ""explanation"": ""Bundler is a tool that manages your application's dependencies. It's a great way to ensure that your application uses the exact versions of the gems you need."", ""examples"": [{""description"": ""Create a Gemfile"", ""code"": ""source 'https://rubygems.org'\ngem 'rails', '>= 6.0.3.4'""}, {""description"": ""Run Bundler to install dependencies"", ""code"": ""bundle install""}]}, {""title"": ""Write Automated Tests"", ""explanation"": ""Automated tests ensure that your code works as expected and catch bugs early in the development process. Use a testing framework like RSpec or Minitest."", ""examples"": [{""description"": ""Write a test with RSpec"", ""code"": ""describe 'User' do\n  it { is_expected.to be_valid }\nend""}, {""description"": ""Run your tests"", ""code"": ""rspec""}]}, {""title"": ""Use Git for Version Control"", ""explanation"": ""Git is a version control system that allows you to track changes in your codebase. It's essential for collaborative development and maintaining a history of changes."", ""examples"": [{""description"": ""Initialize a Git repository"", ""code"": ""git init""}, {""description"": ""Add a file to the repository"", ""code"": ""git add README.md""}, {""description"": ""Commit the file"", ""code"": ""git commit -m 'Initial commit'""}]}]}"
8,PHP,"{""language"": ""PHP"", ""best_practices"": [{""title"": ""Use Prepared Statements"", ""explanation"": ""Prepared statements help prevent SQL injection attacks and improve performance by allowing the database to cache the execution plan."", ""examples"": [{""description"": ""Example of using a prepared statement with PDO."", ""code"": ""stmt = $pdo->prepare('SELECT * FROM users WHERE username = :username');""}, {""description"": ""Example of using a prepared statement with mysqli."", ""code"": ""stmt = $mysqli->prepare('SELECT * FROM users WHERE username = ?');""}]}, {""title"": ""Validate and Sanitize User Input"", ""explanation"": ""Validating and sanitizing user input helps prevent SQL injection and cross-site scripting (XSS) attacks."", ""examples"": [{""description"": ""Using filter_var to validate an email address."", ""code"": ""filter_var($email, FILTER_VALIDATE_EMAIL);""}, {""description"": ""Using htmlspecialchars to sanitize user input."", ""code"": ""htmlspecialchars($userInput);""}]}, {""title"": ""Use a Framework"", ""explanation"": ""Using a PHP framework can help structure your code and provide built-in security features."", ""examples"": [{""description"": ""Example of using the Laravel framework."", ""code"": ""use Illuminate\\Support\\Facades\\Route;""}, {""description"": ""Example of using the CodeIgniter framework."", ""code"": ""use CI_Controller;""}]}, {""title"": ""Keep Code Organized"", ""explanation"": ""Organize your code into logical directories and files to make it easier to maintain and understand."", ""examples"": [{""description"": ""Example directory structure for a PHP project."", ""code"": ""app/ controllers/ models/ views/ config/ routes.php""}, {""description"": ""Example of a simple PHP class structure."", ""code"": ""class User { public function __construct() { } }""}]}, {""title"": ""Use a Version Control System"", ""explanation"": ""Version control systems like Git help track changes and collaborate with others on your project."", ""examples"": [{""description"": ""Initial commit with Git."", ""code"": ""git init && git add . && git commit -m 'Initial commit'""}, {""description"": ""Creating a branch with Git."", ""code"": ""git branch feature-branch""}]}]}"
9,C++,"{""language"": ""C++"", ""best_practices"": [{""title"": ""Use Smart Pointers"", ""explanation"": ""Smart pointers automatically manage the memory they point to, reducing the risk of memory leaks and making the code more efficient."", ""examples"": [{""description"": ""Using unique_ptr to manage memory."", ""code"": ""std::unique_ptr<int> p(new int);""}, {""description"": ""Using shared_ptr for shared ownership."", ""code"": ""std::shared_ptr<int> p(new int);""}]}, {""title"": ""Avoid Raw Pointers"", ""explanation"": ""Raw pointers can lead to memory leaks and undefined behavior if not managed properly. Use smart pointers instead."", ""examples"": [{""description"": ""Avoid using raw pointers for memory management."", ""code"": ""int* p = new int;""}]}, {""title"": ""Use Containers"", ""explanation"": ""Containers provide a way to manage collections of objects efficiently and safely, reducing the need for raw pointers and manual memory management."", ""examples"": [{""description"": ""Using a vector to manage a collection of integers."", ""code"": ""std::vector<int> numbers;""}]}, {""title"": ""Follow the Rule of Five"", ""explanation"": ""If you need to implement any of the copy constructor, move constructor, copy assignment operator, move assignment operator, or destructor, you should implement all five to ensure proper object management."", ""examples"": [{""description"": ""Implementing the Rule of Five for a class."", ""code"": ""class Example { public: Example(); Example(const Example&); Example(Example&&); Example& operator=(const Example&); Example& operator=(Example&&); ~Example(); };""}]}, {""title"": ""Use const Correctness"", ""explanation"": ""Use const to specify when a variable or function parameter should not be modified, improving code readability and preventing unintended changes."", ""examples"": [{""description"": ""Declaring a function parameter as const to ensure it is not modified."", ""code"": ""void foo(const int& x) { }""}]}]}"
10,C,"{""language"": ""C"", ""best_practices"": [{""title"": ""Use Pointers Carefully"", ""explanation"": ""Pointers are a powerful feature in C, but they can also lead to memory leaks and segmentation faults if not used carefully. Always initialize pointers to NULL and free allocated memory."", ""examples"": [{""description"": ""Initialize pointer to NULL"", ""code"": ""int* pointer = NULL;""}, {""description"": ""Free allocated memory"", ""code"": ""free(pointer);""}]}, {""title"": ""Check for NULL Before Dereferencing"", ""explanation"": ""Before accessing the memory location pointed to by a pointer, check if it is NULL to avoid segmentation faults."", ""examples"": [{""description"": ""Check for NULL before dereferencing"", ""code"": ""if (pointer != NULL) { *pointer = 10; }""}]}, {""title"": ""Use const Correctly"", ""explanation"": ""Use const to specify read-only variables and parameters to avoid unintended modifications and improve code readability."", ""examples"": [{""description"": ""Use const for read-only variables"", ""code"": ""const int read_only_variable = 10;""}, {""description"": ""Use const for function parameters"", ""code"": ""void function(const int parameter) { }""}]}, {""title"": ""Avoid Global Variables"", ""explanation"": ""Global variables can lead to tight coupling and make the code harder to understand and maintain. Use local variables and function parameters instead."", ""examples"": [{""description"": ""Use local variables"", ""code"": ""void function() { int local_variable = 10; }""}, {""description"": ""Use function parameters"", ""code"": ""void function(int parameter) { }""}]}, {""title"": ""Use Standard Library Functions"", ""explanation"": ""The C standard library provides many useful functions. Use them instead of writing your own versions to avoid bugs and improve code readability."", ""examples"": [{""description"": ""Use standard library functions"", ""code"": ""#include <string.h> ... strcpy(destination, source);""}]}]}"
